score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.7816358,1.1593101,2304.0,1,0train,22,2,BNCI2014-001,MDM
0.80516976,1.1593101,2304.0,1,1test,22,2,BNCI2014-001,MDM
0.5405093,0.9869571,2304.0,2,0train,22,2,BNCI2014-001,MDM
0.47511575,0.9869571,2304.0,2,1test,22,2,BNCI2014-001,MDM
0.88464504,1.0632,2304.0,3,0train,22,2,BNCI2014-001,MDM
0.87056327,1.0632,2304.0,3,1test,22,2,BNCI2014-001,MDM
0.77816355,0.95361996,2304.0,4,0train,22,2,BNCI2014-001,MDM
0.7627315,0.95361996,2304.0,4,1test,22,2,BNCI2014-001,MDM
0.62982255,0.9333029,2304.0,5,0train,22,2,BNCI2014-001,MDM
0.67746913,0.9333029,2304.0,5,1test,22,2,BNCI2014-001,MDM
0.7370756,0.96055794,2304.0,6,0train,22,2,BNCI2014-001,MDM
0.6871142,0.96055794,2304.0,6,1test,22,2,BNCI2014-001,MDM
0.75482255,1.004364,2304.0,7,0train,22,2,BNCI2014-001,MDM
0.7390046,1.004364,2304.0,7,1test,22,2,BNCI2014-001,MDM
0.8919753,0.97243714,2304.0,8,0train,22,2,BNCI2014-001,MDM
0.9564043,0.97243714,2304.0,8,1test,22,2,BNCI2014-001,MDM
0.8152006,0.90967727,2304.0,9,0train,22,2,BNCI2014-001,MDM
0.8836806,0.90967727,2304.0,9,1test,22,2,BNCI2014-001,MDM
0.9072145,1.0927691,2304.0,1,0train,22,2,BNCI2014-001,TS+LR
0.9155093,1.0927691,2304.0,1,1test,22,2,BNCI2014-001,TS+LR
0.5640432,0.98664904,2304.0,2,0train,22,2,BNCI2014-001,TS+LR
0.5063657,0.98664904,2304.0,2,1test,22,2,BNCI2014-001,TS+LR
0.9830247,1.099555,2304.0,3,0train,22,2,BNCI2014-001,TS+LR
0.9797454,1.099555,2304.0,3,1test,22,2,BNCI2014-001,TS+LR
0.7934028,0.9824681,2304.0,4,0train,22,2,BNCI2014-001,TS+LR
0.81963736,0.9824681,2304.0,4,1test,22,2,BNCI2014-001,TS+LR
0.50675154,0.9592781,2304.0,5,0train,22,2,BNCI2014-001,TS+LR
0.74266976,0.9592781,2304.0,5,1test,22,2,BNCI2014-001,TS+LR
0.7195216,0.9517319,2304.0,6,0train,22,2,BNCI2014-001,TS+LR
0.7019676,0.9517319,2304.0,6,1test,22,2,BNCI2014-001,TS+LR
0.64429015,0.9498081,2304.0,7,0train,22,2,BNCI2014-001,TS+LR
0.74575615,0.9498081,2304.0,7,1test,22,2,BNCI2014-001,TS+LR
0.96489197,0.9608469,2304.0,8,0train,22,2,BNCI2014-001,TS+LR
0.9672068,0.9608469,2304.0,8,1test,22,2,BNCI2014-001,TS+LR
0.806713,0.89495397,2304.0,9,0train,22,2,BNCI2014-001,TS+LR
0.70871913,0.89495397,2304.0,9,1test,22,2,BNCI2014-001,TS+LR
0.91010803,1.8140099,2304.0,1,0train,22,2,BNCI2014-001,CSP+LDA
0.9359568,1.8140099,2304.0,1,1test,22,2,BNCI2014-001,CSP+LDA
0.5711806,1.7546759,2304.0,2,0train,22,2,BNCI2014-001,CSP+LDA
0.5584491,1.7546759,2304.0,2,1test,22,2,BNCI2014-001,CSP+LDA
0.9836034,1.7084568,2304.0,3,0train,22,2,BNCI2014-001,CSP+LDA
0.97723764,1.7084568,2304.0,3,1test,22,2,BNCI2014-001,CSP+LDA
0.7484568,1.6901643,2304.0,4,0train,22,2,BNCI2014-001,CSP+LDA
0.80767745,1.6901643,2304.0,4,1test,22,2,BNCI2014-001,CSP+LDA
0.50829476,1.6328111,2304.0,5,0train,22,2,BNCI2014-001,CSP+LDA
0.62017745,1.6328111,2304.0,5,1test,22,2,BNCI2014-001,CSP+LDA
0.6882716,1.751318,2304.0,6,0train,22,2,BNCI2014-001,CSP+LDA
0.6452546,1.751318,2304.0,6,1test,22,2,BNCI2014-001,CSP+LDA
0.66242284,2.005344,2304.0,7,0train,22,2,BNCI2014-001,CSP+LDA
0.6890432,2.005344,2304.0,7,1test,22,2,BNCI2014-001,CSP+LDA
0.99093366,1.7440143,2304.0,8,0train,22,2,BNCI2014-001,CSP+LDA
0.97878087,1.7440143,2304.0,8,1test,22,2,BNCI2014-001,CSP+LDA
0.8267747,1.6469839,2304.0,9,0train,22,2,BNCI2014-001,CSP+LDA
0.787037,1.6469839,2304.0,9,1test,22,2,BNCI2014-001,CSP+LDA
