score,time,samples,subject,session,channels,n_sessions,dataset,pipeline
0.84444445,0.23483706,2140.0,1,0train,3,5,BNCI2014-004,TS+LR
0.685,0.23483706,2140.0,1,1train,3,5,BNCI2014-004,TS+LR
0.82765627,0.23483706,2140.0,1,2train,3,5,BNCI2014-004,TS+LR
0.8375,0.23483706,2140.0,1,3test,3,5,BNCI2014-004,TS+LR
0.73296875,0.23483706,2140.0,1,4test,3,5,BNCI2014-004,TS+LR
0.6638889,0.19449878,2180.0,2,0train,3,5,BNCI2014-004,TS+LR
0.52444446,0.19449878,2180.0,2,1train,3,5,BNCI2014-004,TS+LR
0.61546874,0.19449878,2180.0,2,2train,3,5,BNCI2014-004,TS+LR
0.6616667,0.19449878,2180.0,2,3test,3,5,BNCI2014-004,TS+LR
0.61578125,0.19449878,2180.0,2,4test,3,5,BNCI2014-004,TS+LR
0.66694444,0.19073486,2140.0,3,0train,3,5,BNCI2014-004,TS+LR
0.6427778,0.19073486,2140.0,3,1train,3,5,BNCI2014-004,TS+LR
0.53453124,0.19073486,2140.0,3,2train,3,5,BNCI2014-004,TS+LR
0.586875,0.19073486,2140.0,3,3test,3,5,BNCI2014-004,TS+LR
0.60859376,0.19073486,2140.0,3,4test,3,5,BNCI2014-004,TS+LR
0.8811111,0.19165587,2120.0,4,0train,3,5,BNCI2014-004,TS+LR
0.91612244,0.19165587,2120.0,4,1train,3,5,BNCI2014-004,TS+LR
0.9996875,0.19165587,2120.0,4,2train,3,5,BNCI2014-004,TS+LR
0.9984375,0.19165587,2120.0,4,3test,3,5,BNCI2014-004,TS+LR
0.98546875,0.19165587,2120.0,4,4test,3,5,BNCI2014-004,TS+LR
0.86833334,0.19083714,2140.0,1,0train,3,5,BNCI2014-004,MDM
0.7125,0.19083714,2140.0,1,1train,3,5,BNCI2014-004,MDM
0.855625,0.19083714,2140.0,1,2train,3,5,BNCI2014-004,MDM
0.8857812,0.19083714,2140.0,1,3test,3,5,BNCI2014-004,MDM
0.7654688,0.19083714,2140.0,1,4test,3,5,BNCI2014-004,MDM
0.68583333,0.1912179,2180.0,2,0train,3,5,BNCI2014-004,MDM
0.5386111,0.1912179,2180.0,2,1train,3,5,BNCI2014-004,MDM
0.62671876,0.1912179,2180.0,2,2train,3,5,BNCI2014-004,MDM
0.6136111,0.1912179,2180.0,2,3test,3,5,BNCI2014-004,MDM
0.61296874,0.1912179,2180.0,2,4test,3,5,BNCI2014-004,MDM
0.6611111,0.18693686,2140.0,3,0train,3,5,BNCI2014-004,MDM
0.6319444,0.18693686,2140.0,3,1train,3,5,BNCI2014-004,MDM
0.535625,0.18693686,2140.0,3,2train,3,5,BNCI2014-004,MDM
0.58765626,0.18693686,2140.0,3,3test,3,5,BNCI2014-004,MDM
0.59984374,0.18693686,2140.0,3,4test,3,5,BNCI2014-004,MDM
0.9494445,0.18409586,2120.0,4,0train,3,5,BNCI2014-004,MDM
0.93938774,0.18409586,2120.0,4,1train,3,5,BNCI2014-004,MDM
0.9998438,0.18409586,2120.0,4,2train,3,5,BNCI2014-004,MDM
0.99921876,0.18409586,2120.0,4,3test,3,5,BNCI2014-004,MDM
0.9871875,0.18409586,2120.0,4,4test,3,5,BNCI2014-004,MDM
0.84444445,0.30714417,2140.0,1,0train,3,5,BNCI2014-004,CSP+LDA
0.69,0.30714417,2140.0,1,1train,3,5,BNCI2014-004,CSP+LDA
0.84625,0.30714417,2140.0,1,2train,3,5,BNCI2014-004,CSP+LDA
0.85296875,0.30714417,2140.0,1,3test,3,5,BNCI2014-004,CSP+LDA
0.7342188,0.30714417,2140.0,1,4test,3,5,BNCI2014-004,CSP+LDA
0.6944444,0.21274805,2180.0,2,0train,3,5,BNCI2014-004,CSP+LDA
0.57361114,0.21274805,2180.0,2,1train,3,5,BNCI2014-004,CSP+LDA
0.62828124,0.21274805,2180.0,2,2train,3,5,BNCI2014-004,CSP+LDA
0.6136111,0.21274805,2180.0,2,3test,3,5,BNCI2014-004,CSP+LDA
0.61359376,0.21274805,2180.0,2,4test,3,5,BNCI2014-004,CSP+LDA
0.67194444,0.20370007,2140.0,3,0train,3,5,BNCI2014-004,CSP+LDA
0.6425,0.20370007,2140.0,3,1train,3,5,BNCI2014-004,CSP+LDA
0.5315625,0.20370007,2140.0,3,2train,3,5,BNCI2014-004,CSP+LDA
0.5903125,0.20370007,2140.0,3,3test,3,5,BNCI2014-004,CSP+LDA
0.5978125,0.20370007,2140.0,3,4test,3,5,BNCI2014-004,CSP+LDA
0.94277775,0.20624495,2120.0,4,0train,3,5,BNCI2014-004,CSP+LDA
0.9269388,0.20624495,2120.0,4,1train,3,5,BNCI2014-004,CSP+LDA
0.9998438,0.20624495,2120.0,4,2train,3,5,BNCI2014-004,CSP+LDA
0.99828124,0.20624495,2120.0,4,3test,3,5,BNCI2014-004,CSP+LDA
0.98859376,0.20624495,2120.0,4,4test,3,5,BNCI2014-004,CSP+LDA
